"","Sample.Number","Date.Submitted","Analysis..Lead.","Lead..ppb.","Analysis..Copper.","Copper..ppb.","Street..","Street.Name","City","Zip.Code","lead.ppb","copper.ppb","addresses","lon","lat","address"
"1","LG06432","1/30/2016","Lead","6,290","Copper","22,080","3124","STEVENSON ST","FLINT","48504",6290,22080,"3124 STEVENSON ST, Flint MI, 48504",-83.73488,43.029243,"3124 stevenson st, flint, mi 48504, usa"
"2","LG02507","1/22/2016","Lead","5,447","Copper","450","3930","BROWN ST","FLINT","48532",5447,450,"3930 BROWN ST, Flint MI, 48532",-83.737912,43.000879,"3930 brown st, flint, mi 48532, usa"
"3","LG01574","1/21/2016","Lead","5,013","Copper","7,490","2310","CALUMET ST","FLINT","48503",5013,7490,"2310 CALUMET ST, Flint MI, 48503",-83.659645,43.015957,"2310 calumet st, flint, mi 48503, usa"
"4","LG01371","1/21/2016","Lead","4,247","Copper","1,920","2932","BAETH ST","FLINT","48504",4247,1920,"2932 BAETH ST, Flint MI, 48504",-83.729654,43.030791,"2932 barth st, flint, mi 48504, usa"
"5","LF97945","12/29/2015","Lead","2,516","Copper","560","1201","N GRAND TRAVERSE","FLINT","",2516,560,"1201 N GRAND TRAVERSE, Flint MI, ",-83.705607,43.023824,"1201 n grand traverse st, flint, mi 48503, usa"
"6","LG06379","1/30/2016","Lead","1,708","Copper","780","1351","N BALLENGER HWY","FLINT","48504",1708,780,"1351 N BALLENGER HWY, Flint MI, 48504",-83.7298689,43.028447,"1351 n ballenger hwy, flint, mi 48504, usa"
"7","LG03662","1/25/2016","Lead","1,703","Copper","1,190","3934","HERRICK ST","FLINT","48532",1703,1190,"3934 HERRICK ST, Flint MI, 48532",-83.737911,42.998406,"3934 herrick st, flint, mi 48532, usa"
"8","LG03757","1/25/2016","Lead","1,490","Copper","60","735","THOMSON ST","FLINT","48503",1490,60,"735 THOMSON ST, Flint MI, 48503",-83.679359,43.017223,"735 thomson st, flint, mi 48503, usa"
"9","LG01973","1/21/2016","Lead","1,403","Copper","880","809","FRANK ST","FLINT","48504",1403,880,"809 FRANK ST, Flint MI, 48504",-83.71948,43.0134169,"809 frank st, flint, mi 48504, usa"
"10","LG02444","1/22/2016","Lead","1,070","Copper","250","2429","BROWN ST","FLINT","48503",1070,250,"2429 BROWN ST, Flint MI, 48503",-83.717603,43.002491,"2429 brown st, flint, mi 48503, usa"
"11","LF99183","1/7/2016","Lead","848","Copper","1,660","1201","N GRAND TRAVERSE","FLINT","",848,1660,"1201 N GRAND TRAVERSE, Flint MI, ",-83.705607,43.023824,"1201 n grand traverse st, flint, mi 48503, usa"
"12","LG03116","1/24/2016","Lead","794","Copper","640","1505","ARROW LN","FLINT","48507",794,640,"1505 ARROW LN, Flint MI, 48507",-83.662935,42.998137,"1505 arrow ln, flint, mi 48507, usa"
"13","LG04059","1/26/2016","Lead","749","Copper","160","3825","SUNRIDGE DRIVE","FLINT","48506",749,160,"3825 SUNRIDGE DRIVE, Flint MI, 48506",-83.64961,43.049501,"3825 sunridge dr, flint, mi 48506, usa"
"14","LG04231","1/26/2016","Lead","566","Copper","0","1620","EUCLID","FLINT","48503",566,0,"1620 EUCLID, Flint MI, 48503",-83.709591,43.028864,"1620 euclid ave, flint, mi 48503, usa"
"15","LG03043","1/24/2016","Lead","543","Copper","180","3514","BRIARWOOD DR","FLINT","48507",543,180,"3514 BRIARWOOD DR, Flint MI, 48507",-83.704284,42.989894,"3514 briarwood dr, flint, mi 48507, usa"
"16","LG03697","1/25/2016","Lead","376","Copper","1,150","1319","LIPPINCOTT BLVD","FLINT","",376,1150,"1319 LIPPINCOTT BLVD, Flint MI, ",-83.665192,43.003797,"1319 lippincott blvd, flint, mi 48503, usa"
"17","LG02154","1/21/2016","Lead","369","Copper","350","602","W PATERSON ST","FLINT","48503",369,350,"602 W PATERSON ST, Flint MI, 48503",-83.712,43.033387,"602 w paterson st, flint, mi 48503, usa"
"18","LG05595","1/28/2016","Lead","363","Copper","840","1814","JASMINE AVE","FLINT","48503",363,840,"1814 JASMINE AVE, Flint MI, 48503",-83.672662,43.008513,"1814 jasmine ave, flint, mi 48503, usa"
"19","LF84897","9/25/2015","Lead","327","Copper","190","2801","YALE ST","FLINT","48503",327,190,"2801 YALE ST, Flint MI, 48503",-83.722708,42.997471,"2801 yale st, flint, mi 48503, usa"
"20","LG05044","1/27/2016","Lead","320","Copper","70","5802","FLEMINGS RD","FLINT","48504",320,70,"5802 FLEMINGS RD, Flint MI, 48504",-83.722905,43.065753,"5802 fleming rd, flint, mi 48504, usa"
"21","LG05975","1/29/2016","Lead","310","Copper","500","2522","NOLEN DR","FLINT","48504",310,500,"2522 NOLEN DR, Flint MI, 48504",-83.7280959,43.017203,"2522 nolen dr, flint, mi 48504, usa"
"22","LG00992","1/20/2016","Lead","295","Copper","180","4519","MILTON DR","FLINT","48507",295,180,"4519 MILTON DR, Flint MI, 48507",-83.672565,42.983942,"4519 milton dr, flint, mi 48507, usa"
