"","PWSID","PWS_NAME","NPM_CANDIDATE","PRIMACY_AGENCY_CODE","EPA_REGION","SEASON_BEGIN_DATE","SEASON_END_DATE","PWS_ACTIVITY_CODE","PWS_DEACTIVATION_DATE","PWS_TYPE_CODE","DBPR_SCHEDULE_CAT_CODE","CDS_ID","GW_SW_CODE","LT2_SCHEDULE_CAT_CODE","OWNER_TYPE_CODE","POPULATION_SERVED_COUNT","POP_CAT_2_CODE","POP_CAT_3_CODE","POP_CAT_4_CODE","POP_CAT_5_CODE","POP_CAT_11_CODE","PRIMACY_TYPE","PRIMARY_SOURCE_CODE","IS_GRANT_ELIGIBLE_IND","IS_WHOLESALER_IND","IS_SCHOOL_OR_DAYCARE_IND","SERVICE_CONNECTIONS_COUNT","SUBMISSION_STATUS_CODE","ORG_NAME","ADMIN_NAME","EMAIL_ADDR","PHONE_NUMBER","PHONE_EXT_NUMBER","FAX_NUMBER","ALT_PHONE_NUMBER","ADDRESS_LINE1","ADDRESS_LINE2","CITY_NAME","ZIP_CODE","COUNTRY_CODE","STATE_CODE","SOURCE_WATER_PROTECTION_CODE","SOURCE_PROTECTION_BEGIN_DATE","OUTSTANDING_PERFORMER","OUTSTANDING_PERFORM_BEGIN_DATE","CITIES_SERVED","COUNTIES_SERVED"
"1","010106001","Mashantucket Pequot Water System","Y","01","01",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"N",39552,2,2,2,4,6,"Tribal","GU","Y","Y","N",143,"Y","Mashantucket Pequot Tribal Utilities","Rodney Butler",NA,"8603966740",NA,NA,NA,"Tribal Office","Indiantown Rd, - PO BOX 3060","MASHANTUCKET","06339-3060","US","CT",NA,NA,NA,NA,"Not Reported","Not Reported"
"2","010109001","Mohegan Sun RETAIL/CASINO/HOTEL/ETC","N","01","01","01-01","12-31","I","01-JAN-00","NTNCWS",NA,NA,"GW",NA,"N",41185,2,2,2,4,6,"Tribal","GW","N","N","N",1,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Reported","Not Reported"
"3","010109005","Mohegan Tribal Utility Authority","Y","01","01",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"N",37860,2,2,2,4,6,"Tribal","SWP","Y","N","N",20,"Y","Mohegan Tribe","Bruce Boszum",NA,NA,NA,NA,NA,"5 Crow Hill Road",NA,"Uncasville","06382","US","CT",NA,NA,NA,NA,"Not Reported","Not Reported"
"4","CT0000251","MANSFIELD","N","CT","01","01-01","12-31","I","01-APR-81","CWS",NA,NA,"GW",NA,"L",60000,2,3,3,4,7,"State","GW","N","N","N",18176,"Y",NA,"MANSFIELD",NA,"203-756-7250",NA,NA,NA,NA,"CITY BLDG 27 W 2ND ST","MANSFIELD","06250","US","CT",NA,NA,NA,NA,"Not Reported","Tolland"
"5","CT0020021","REGIONAL WATER AUTHORITY-ANSONIA","N","CT","01","01-01","12-31","N","24-MAR-16","CWS",NA,NA,"SW",NA,"P",29600,2,2,2,4,6,"State","SW","N","N","N",8724,"Y","BINGAMAN, LARRY L.","BINGAMAN, LARRY L.","lbingaman@rwater.com","203-562-4020",NA,"203-624-6129",NA,"90 SARGENT DRIVE",NA,"NEW HAVEN","06511","US","CT","N",NA,NA,NA,"ANSONIA,DERBY,ORANGE,SEYMOUR,WOODBRIDGE","New Haven"
"6","CT0040011","AVON WATER CO","Y","CT","01",NA,NA,"A",NA,"CWS","3",NA,"GW",NA,"P",11590,2,2,2,4,6,"State","GW","Y","N","N",4831,"Y","WESNESKI, ROBERT W.","WESNESKI, ROBERT W.","avonwater@snet.net","860-678-0001",NA,"860-678-0521",NA,"14 WEST MAIN STREET","P.O. Box 424","AVON","06001-0424","US","CT","Y","30-JUN-10",NA,NA,"AVON,FARMINGTON,SIMSBURY","Hartford"
"7","CT0070011","KENSINGTON FIRE DISTRICT","Y","CT","01",NA,NA,"A",NA,"CWS","2",NA,"SW",NA,"L",7553,1,2,1,3,5,"State","SWP","Y","N","N",3057,"Y","MCKEON, DANIEL P.","MCKEON, DANIEL P.","kensington.Fire@snet.net","860-828-9781",NA,"860-828-1604",NA,"947 FARMINGTON AVE","P.O. BOX 2","KENSINGTON","06037","US","CT","Y","30-JUN-10",NA,NA,"BERLIN,NEW BRITAIN,NEWINGTON","Hartford"
"8","CT0070021","BERLIN WATER CONTROL COMMISSION","Y","CT","01",NA,NA,"A",NA,"CWS","2",NA,"SW",NA,"L",5128,1,2,1,3,5,"State","SWP","Y","N","N",2557,"Y","JAREMA, RAY","JAREMA, RAY","rjarema@town.berlin.ct.us","860-828-7065",NA,"860-828-7180",NA,"240 Kensington Road",NA,"BERLIN","06037","US","CT","Y","30-JUN-10",NA,NA,"BERLIN,MIDDLETOWN,NEWINGTON","Hartford"
"9","CT0090011","BETHEL WATER DEPT","Y","CT","01",NA,NA,"A",NA,"CWS","4",NA,"SW","4","L",9507,1,2,1,3,5,"State","SW","Y","N","N",3300,"Y","KNICKERBOCKER, MATTHEW S.","KNICKERBOCKER, MATTHEW S.","firstselectman@bethel-ct.gov","203-794-8501",NA,"203-778-7502",NA,"CJH Municipal Center","1 SCHOOL STREET","BETHEL","06801","US","CT","Y","30-JUN-10",NA,NA,"BETHEL,DANBURY","Fairfield"
"10","CT0150011","AQUARION WATER CO OF CT-MAIN SYSTEM","Y","CT","01",NA,NA,"A",NA,"CWS","1",NA,"SW","1","P",351731,2,3,4,5,9,"State","SW","Y","N","N",91895,"Y","WALSH, JOHN P.","WALSH, JOHN P.","jwalsh@aquarionwater.com","203-337-5852",NA,"203-337-5839",NA,"600 LINDLEY STREET",NA,"BRIDGEPORT","06606","US","CT","Y","30-JUN-10",NA,NA,"BEACON FALLS,BRIDGEPORT,DARIEN,EASTON,FAIRFIELD,GREENWICH,MONROE,NEW CANAAN,NEWTOWN,NORWALK,REDDING,RIDGEFIELD,SEYMOUR,SHELTON,STAMFORD,STRATFORD,TRUMBULL,WESTON,WESTPORT,WILTON","Fairfield"
"11","CT0170011","BRISTOL WATER DEPARTMENT","Y","CT","01",NA,NA,"A",NA,"CWS","2",NA,"SW","2","L",52079,2,3,3,4,7,"State","SW","Y","N","N",16322,"Y","LONGO, ROBERT J.","LONGO, ROBERT J.","robertlongo@ci.bristol.ct.us","860-582-7431",NA,"860-585-1287",NA,"119 Riverside Avenue","P.O. Box 58","BRISTOL","06010","US","CT","Y","30-JUN-10",NA,NA,"BRISTOL,BURLINGTON,PLAINVILLE,PLYMOUTH,SOUTHINGTON","Hartford"
"12","CT0230011","CTWC - NAUGATUCK REG-COLLINSVILLE SYS","Y","CT","01",NA,NA,"A",NA,"CWS","4",NA,"SW","4","P",6324,1,2,1,3,5,"State","SW","Y","N","N",1890,"Y","REYNOLDS, REED M.","REYNOLDS, REED M.","rreynolds@ctwater.com","860-664-6241",NA,"860-673-3740",NA,NA,"19 EXECUTIVE DRIVE","FARMINGTON","06032","US","CT","Y","30-JUN-10",NA,NA,"AVON,BURLINGTON,CANTON,NEW HARTFORD","Hartford"
"13","CT0261031","CTWC - SHORELINE REGION-CHESTER SYSTEM","Y","CT","01",NA,NA,"A",NA,"CWS","4",NA,"SW","4","P",5030,1,2,1,3,5,"State","SW","Y","N","N",2290,"Y","ROSS, ROBERT F.","ROSS, ROBERT F.","rross@ctwater.com","860-664-6120",NA,"860-669-7899",NA,"93 WEST MAIN STREET",NA,"CLINTON","06413","US","CT","Y","30-JUN-10",NA,NA,"CHESTER,DEEP RIVER,ESSEX","Middlesex"
"14","CT0330011","CROMWELL FIRE DISTRICT WATER DEPARTMENT","Y","CT","01",NA,NA,"A",NA,"CWS","3",NA,"GW",NA,"L",14316,2,2,2,4,6,"State","GW","Y","N","N",4257,"Y","JARAVEK, WILLIAM","JARAVEK, WILLIAM","bjarzavek@cromwellfd.com","860-635-4420","1000",NA,NA,"1 West Street",NA,"CROMWELL","06416","US","CT","Y","30-JUN-10",NA,NA,"BERLIN,CROMWELL","Middlesex"
"15","CT0340011","DANBURY WATER DEPARTMENT","Y","CT","01",NA,NA,"A",NA,"CWS","2",NA,"SW","2","L",62055,2,3,3,4,7,"State","SW","Y","N","N",11000,"Y","DAY, DAVID M.","DAY, DAVID M.","d.day@danbury-ct.gov","203-797-4539",NA,"203-796-1590",NA,"155 DEER HILL AVENUE",NA,"DANBURY","06810","US","CT","Y","30-JUN-10",NA,NA,"BETHEL,BROOKFIELD,DANBURY,RIDGEFIELD","Fairfield"
"16","CT0350011","AQUARION WATER CO OF CT-NOROTON SYSTEM","Y","CT","01",NA,NA,"A",NA,"CWS","3",NA,"SW",NA,"P",17675,2,2,2,4,6,"State","SWP","Y","N","N",5814,"Y","WALSH, JOHN P.","WALSH, JOHN P.","jwalsh@aquarionwater.com","203-337-5852",NA,"203-337-5839",NA,"600 LINDLEY STREET",NA,"BRIDGEPORT","06606","US","CT","Y","30-JUN-10",NA,NA,"DARIEN,NEW CANAAN,NORWALK,STAMFORD","Fairfield"
"17","CT0450011","EAST LYME WATER %26 SEWER COMMISSION","Y","CT","01",NA,NA,"A",NA,"CWS",NA,NA,"SW",NA,"L",15245,2,2,2,4,6,"State","SWP","Y","N","N",5446,"Y","KARGL, BRADFORD C.","KARGL, BRADFORD C.","bkargl@eltownhall.com","860-739-6931","139","860-739-6930",NA,"108 Pennsylvania Avenue","P.O. Box 519","NIANTIC","06357","US","CT","Y","30-JUN-10",NA,NA,"EAST LYME","New London"
"18","CT0473011","CTWC - NORTHERN REG-WESTERN SYSTEM","Y","CT","01",NA,NA,"A",NA,"CWS","2",NA,"SW","2","P",97690,2,3,3,4,7,"State","SW","Y","N","N",36248,"Y","LOWRY, PAUL C.","LOWRY, PAUL C.","plowry@ctwater.com","860-292-2809",NA,"860-654-1903",NA,"P. O. BOX 857",NA,"EAST WINDSOR","06088","US","CT","Y","03-SEP-10",NA,NA,"EAST GRANBY,EAST WINDSOR,ELLINGTON,ENFIELD,MANCHESTER,SOUTH WINDSOR,SUFFIELD,TOLLAND,VERNON,WINDSOR LOCKS","Hartford"
"19","CT0490021","HAZARDVILLE WATER COMPANY","Y","CT","01",NA,NA,"A",NA,"CWS","3",NA,"GW",NA,"P",18544,2,2,2,4,6,"State","GW","Y","N","N",7327,"Y","SHERWOOD, ROBERT","SHERWOOD, ROBERT","bsherwood@hazardvillewater.com","860-749-0779",NA,"860-749-5381",NA,"281 HAZARD AVENUE",NA,"ENFIELD","06082","US","CT","Y","30-JUN-10",NA,NA,"EAST WINDSOR,ENFIELD,SOMERS","Hartford"
"20","CT0490031","CONNECTICUT CORRECTIONAL INSTITUTE","Y","CT","01",NA,NA,"A",NA,"CWS","4",NA,"GW",NA,"S",5460,1,2,1,3,5,"State","GW","Y","N","N",6,"Y","ROY, KEVIN D.","ROY, KEVIN D.","kevin.roy@po.state.ct.us","860-253-3642",NA,"860-253-3695",NA,"175 BILTON ROAD",NA,"SOMERS","06071","US","CT","Y","30-JUN-10",NA,NA,"ENFIELD,SOMERS","Hartford"
"21","CT0520011","CTWC - UNIONVILLE SYSTEM","Y","CT","01",NA,NA,"A",NA,"CWS","3",NA,"SW",NA,"P",14693,2,2,2,4,6,"State","SWP","Y","N","N",6319,"Y","REYNOLDS, REED M.","REYNOLDS, REED M.","rreynolds@ctwater.com","860-664-6241",NA,"860-673-3740",NA,NA,"19 EXECUTIVE DRIVE","FARMINGTON","06032","US","CT","Y","30-JUN-10",NA,NA,"AVON,BRISTOL,FARMINGTON,PLAINVILLE","Hartford"
"22","CT0570011","AQUARION WATER CO OF CT-GREENWICH SYSTEM","Y","CT","01",NA,NA,"A",NA,"CWS","3",NA,"SW","2","P",52959,2,3,3,4,7,"State","SW","Y","N","N",14613,"Y","WALSH, JOHN P.","WALSH, JOHN P.","jwalsh@aquarionwater.com","203-337-5852",NA,"203-337-5839",NA,"600 LINDLEY STREET",NA,"BRIDGEPORT","06606","US","CT","Y","30-JUN-10",NA,NA,"GREENWICH,STAMFORD","Fairfield"
"23","CT0580011","JEWETT CITY WATER COMPANY","Y","CT","01",NA,NA,"A",NA,"CWS","4",NA,"SW","4","P",6840,1,2,1,3,5,"State","SW","Y","N","N",1710,"Y","SHERWOOD, ROBERT","SHERWOOD, ROBERT","bsherwood@hazardvillewater.com","860-749-0779",NA,"860-749-5381",NA,"281 HAZARD AVENUE",NA,"ENFIELD","06082","US","CT","Y","30-JUN-10",NA,NA,"GRISWOLD,LISBON","New London"
